,asin,name,Rating,date,verified,Title,Review,helpfulVotes,brand,item_title,url,image,overall_rating,reviewUrl,totalReviews,price,originalPrice
17809,B079HB518K,Corey,5,9-Sep-18,True,Satisfied customer,"Phone came with no sign of wear in great condition it looks brand new. 100% functional I’ve had no problem with it all so far and it came with a temper glass too as well so don’t pre purchase one before you get this phone. However, in the settings it says that the overall battery maximum capacity has dropped to 81% since it was first purchased. But I ther than that the phone is great.",14.0,Apple,"Apple iPhone 7, 32GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-32GB/dp/B079HB518K,https://m.media-amazon.com/images/I/71x3e0x+M2L._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B079HB518K,243,199.0,206.9
14743,B0731HBTZ7,alma,3,9-Oct-19,True,It's alright,"At first glance, the phone is in perfect condition. No scratches. Set up was easy. However, after using it for about 2 weeks, I have noticed some defects. The battery healths maximum capacity is at 86%, it should be at 100%. Siri doesn't work, it doesn't let me set it up. Wifi turns itself off sometimes and does not let you turn it on. Calls will either not go through or will sound static-y, low, like is the person was far away. I have also been told that they can't really hear me on their side. Video calls don't work sometimes like FaceTime and Facebook's Messenger's video calls. I have to turn it off and on because it decides to act up. Just today, after having it for 2 weeks, the battery started dying faster than usual. That is all I can think of right now. I will update if something else acts up.",1.0,Apple,"Apple iPhone 7 32GB, Rose Gold (Renewed)",https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/dp/B0731HBTZ7,https://m.media-amazon.com/images/I/51cRE43zKwL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B0731HBTZ7,452,199.95,210.0
16606,B07755LZ67,Vintage Gypsy Decor,5,9-Oct-19,True,Great price and a good phone,Great phone. Daughter loves it. Refabbed phone but works just like new. Tiny dings on screen fairly unnoticeable. Purchased screen protector and case to give it some lifetime with a teenager. Recommend,2.0,Apple,Apple iPhone 8 Plus 64GB Unlocked GSM Phone - Space Gray (Renewed),https://www.amazon.com/Apple-iPhone-Unlocked-Gray-Refurbished/dp/B07755LZ67,https://m.media-amazon.com/images/I/810MbmOEoqL._AC_UY218_ML3_.jpg,4.0,https://www.amazon.com/product-reviews/B07755LZ67,176,374.99,0.0
24942,B07RKYQSRB,Lanishia Gardner,5,9-Oct-19,True,No Problems!!!!,Workes Great!!!!,3.0,Apple,"Apple iPhone Xs Max, AT&T, 64GB - Gray - (Renewed)",https://www.amazon.com/Apple-iPhone-Xs-Max-64GB/dp/B07RKYQSRB,https://m.media-amazon.com/images/I/81nSsCFeiTL._AC_UY218_ML3_.jpg,4.2,https://www.amazon.com/product-reviews/B07RKYQSRB,13,619.99,0.0
19217,B07D6TQP6F,Brandi Ortega,2,9-Oct-18,True,Other then that a good phone,Gets hot when I’m listening to music or watching a video,8.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T (Renewed)",https://www.amazon.com/Apple-iPhone-AT-256GB-Refurbished/dp/B07D6TQP6F,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B07D6TQP6F,436,476.0,0.0
16480,B0775451TT,Brandi Ortega,2,9-Oct-18,True,Other then that a good phone,Gets hot when I’m listening to music or watching a video,8.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
16722,B077578W38,monojac,1,9-Nov-19,True,Don’t buy “renews” phone- worked only 6 months,Bought phone in April for $719 - stopped working in November- never but a ”renewed” phone!,1.0,Apple,"Apple iPhone X, Unlocked 5.8"", 64GB - Space Gray (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B077578W38,https://m.media-amazon.com/images/I/719knfTwPvL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B077578W38,442,448.95,0.0
14766,B0731HBTZ7,Martn A. Guardado,5,9-Nov-19,True,The way it looks,I got the phone there is no scratches or anything it honestly looks like i bought it brand new but it doesnt come with headphones but most paet its really good,1.0,Apple,"Apple iPhone 7 32GB, Rose Gold (Renewed)",https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/dp/B0731HBTZ7,https://m.media-amazon.com/images/I/51cRE43zKwL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B0731HBTZ7,452,199.95,210.0
16901,B077NTKFDB,Vitaliy,1,9-May-19,True,"Another color, broken home button.","It was delivered in another color with broken Home button and vibration mechanism. The appearance wasn't like new, but dirty. The protection layer was poorly fixed and unproperly sized. Battery and other functions are ok. Overall it is sad experience, hope it happens not so often...",1.0,Apple,Apple iPhone 7 Plus 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Silver (Renewed),https://www.amazon.com/Apple-iPhone-Unlocked-Quad-Core-Smartphone/dp/B077NTKFDB,https://m.media-amazon.com/images/I/61C5dT6qy0L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B077NTKFDB,17,329.97,0.0
19240,B07D6TQP6F,MarvinFortin,5,9-May-19,True,I Feel Happy!,Excelente! everything is fine!,4.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T (Renewed)",https://www.amazon.com/Apple-iPhone-AT-256GB-Refurbished/dp/B07D6TQP6F,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B07D6TQP6F,436,476.0,0.0
16503,B0775451TT,MarvinFortin,5,9-May-19,True,I Feel Happy!,Excelente! everything is fine!,4.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
11983,B06XGLHP8V,Darren Sumner,5,9-May-19,True,Used iPhone saves the day!,Exactly why I bought it!,12.0,Apple,"Apple iPhone 7 Plus, GSM Unlocked, 128GB - Rose Gold (Renewed)",https://www.amazon.com/Apple-iPhone-Plus-Unlocked-128GB/dp/B06XGLHP8V,https://m.media-amazon.com/images/I/51SEopmY8HL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B06XGLHP8V,83,288.0,0.0
12244,B06XRJQX91,bala bhaskar rao,5,9-May-18,True,"Wow, I am stunned.","I bought this phone because my phone broke. It is an expensive price and I didn't know if it would come good because it is refurbished. I opened it and I was stunned. I ordered rose gold, and it was perfect! You couldn't even tell that it was refurbished and the rose gold was shiny and perfect and absolutely no scratches or dents, you can't even spot a tiny blemish! It was beautiful, they got everything right. I have never written a review before but had to right so I could totally prove that this phone comes in perfect condition and you can trust this seller. I am so happy with my phone, it works perfectly, nothing is broken. It came with a plastic seal too! The box was extremely dented but did not damage the phone in any way. It didn't come with headphones, it came with a charger, that was black(not apple charger) which was very good. Nevertheless, even if I didn't get my headphones I still am in love with this iPhone. I recommend!!",169.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Unlocked-Dual-Core-Camera/dp/B06XRJQX91,https://m.media-amazon.com/images/I/61+mrwyL24L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B06XRJQX91,427,158.88,271.84
12616,B06XS3CTJM,Natasha R.,5,9-Mar-19,True,Good deal.,Phone looked and worked like brand new.,1.0,Apple,Apple iPhone 7 Plus 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Jet Black (Renewed),https://www.amazon.com/Apple-iPhone-Unlocked-Quad-Core-Smartphone/dp/B06XS3CTJM,https://m.media-amazon.com/images/I/71c5RZEpLwL._AC_UY218_ML3_.jpg,4.0,https://www.amazon.com/product-reviews/B06XS3CTJM,193,354.99,0.0
12089,B06XR1K6HR,Amazon Customer,1,9-Jun-18,True,Japan Phone!,There was no implications that this phone was coming from Japan. It has the camera shutter on all the time. There is no way going around this effect. It is best to just return the item. There is also a small dent on the sound button on/off. I am extremely disappointed.,10.0,Apple,"Apple iPhone 6S Plus, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-6S-Fully-Unlocked/dp/B06XR1K6HR,https://m.media-amazon.com/images/I/61hNnAR2EJL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B06XR1K6HR,56,249.99,0.0
11299,B01N4R20RS,Rplayer1999,1,9-Jun-18,True,I highly recommend that NO ONE gets this product and it should ...,It’s a scam!! The screen doesn’t respond properly so and the battery dies within one hour. I highly recommend that NO ONE gets this product and it should be taken off Amazon immediately. I don’t want everyone to make the same mistake I did by buying this horrible product.,207.0,Apple,"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-Unlocked-Quad-Core-Smartphone/dp/B01N4R20RS,https://m.media-amazon.com/images/I/71SzDBdKVxL._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B01N4R20RS,4,209.94,0.0
23960,B07Q6VQ147,Rplayer1999,1,9-Jun-18,True,I highly recommend that NO ONE gets this product and it should ...,It’s a scam!! The screen doesn’t respond properly so and the battery dies within one hour. I highly recommend that NO ONE gets this product and it should be taken off Amazon immediately. I don’t want everyone to make the same mistake I did by buying this horrible product.,207.0,Apple,"Apple iPhone 7, 128GB, Rose Gold - Fully Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-128GB-Rose-Gold/dp/B07Q6VQ147,https://m.media-amazon.com/images/I/71x3e0x+M2L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B07Q6VQ147,4,216.89,0.0
19253,B07D6TQP6F,Lars,5,9-Jul-19,True,Nice,Basically a new looking phone at a discount,1.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T (Renewed)",https://www.amazon.com/Apple-iPhone-AT-256GB-Refurbished/dp/B07D6TQP6F,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B07D6TQP6F,436,476.0,0.0
16800,B0775H5HJW,cola412,1,9-Jul-19,True,Bad product,"No original package with no headphones or charger , adaptors",2.0,Apple,"Apple iPhone X, GSM Unlocked, 256GB - Silver (Renewed)",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-256GB/dp/B0775H5HJW,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B0775H5HJW,139,499.99,735.0
16516,B0775451TT,Lars,5,9-Jul-19,True,Nice,Basically a new looking phone at a discount,1.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
12619,B06XS3CTJM,Connie Rabago,4,9-Jul-19,True,Okay quality for the price.,"Came with a small scratch on the back, doesn’t affect the phone so I’m okay with it. Then noticed the speaker sounds muzzled and sometimes staticky. If it gets worse I will return.",1.0,Apple,Apple iPhone 7 Plus 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Jet Black (Renewed),https://www.amazon.com/Apple-iPhone-Unlocked-Quad-Core-Smartphone/dp/B06XS3CTJM,https://m.media-amazon.com/images/I/71c5RZEpLwL._AC_UY218_ML3_.jpg,4.0,https://www.amazon.com/product-reviews/B06XS3CTJM,193,354.99,0.0
11569,B01N9YO1DS,rkonja,5,9-Jul-19,True,Recomiendo el equipo,Celular nuevo funciona la 100%,1.0,Apple,"Apple iPhone 7, 128GB, Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-128GB/dp/B01N9YO1DS,https://m.media-amazon.com/images/I/71RYhD1uzpL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B01N9YO1DS,227,215.0,399.99
16682,B077578W38,Nicole,1,9-Jan-19,True,Not refurbished!,"Super disappointed when I got this phone. I rarely leave reviews but when I opened this phone I was aggravated. Screen has scratches and the outside edges of the phone are dirty. This is clearly not a refurbished phone, so it should not be advertised as such. Now I have to wait for another one which is even more aggravating!",220.0,Apple,"Apple iPhone X, Unlocked 5.8"", 64GB - Space Gray (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B077578W38,https://m.media-amazon.com/images/I/719knfTwPvL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B077578W38,442,448.95,0.0
25022,B07RT1X4FJ,Anonymous,5,9-Jan-19,False,GREAT,Wish i could give them 6!!!! POSITIVE Experience,9.0,Apple,"Apple iPhone XS, 256GB, Gray - For AT&T (Renewed)",https://www.amazon.com/Apple-iPhone-XS-256GB-Gray/dp/B07RT1X4FJ,https://m.media-amazon.com/images/I/61xa10dafvL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B07RT1X4FJ,198,573.77,0.0
19204,B07D6TQP6F,Kelly,5,9-Jan-19,True,Flawless phone,"The item came exactly as describes so there is no complaints! The battery life span was at 92% when it came so hopefully that’s good. Everything is working great! The phone is in good condition with no flaws. However, it doesn’t have as long as a battery life as my old iPhone 7 does and it runs out of battery much quicker. BUT that may just be the iPhone x itself and it is as expected since it’s more complicated than the iPhone 7 so it may need to use up more battery life. I don’t really know. But other than that the phone is really good and I would definitely recommend this seller.",9.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T (Renewed)",https://www.amazon.com/Apple-iPhone-AT-256GB-Refurbished/dp/B07D6TQP6F,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B07D6TQP6F,436,476.0,0.0
16714,B077578W38,Mathieu Deprat,2,9-Jan-19,True,Bluetooth problem,Got this iPhone today. Everything works flawless except for the fact that I cannot connect any of my bluetooth devices... sad.,4.0,Apple,"Apple iPhone X, Unlocked 5.8"", 64GB - Space Gray (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B077578W38,https://m.media-amazon.com/images/I/719knfTwPvL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B077578W38,442,448.95,0.0
16467,B0775451TT,Kelly,5,9-Jan-19,True,Flawless phone,"The item came exactly as describes so there is no complaints! The battery life span was at 92% when it came so hopefully that’s good. Everything is working great! The phone is in good condition with no flaws. However, it doesn’t have as long as a battery life as my old iPhone 7 does and it runs out of battery much quicker. BUT that may just be the iPhone x itself and it is as expected since it’s more complicated than the iPhone 7 so it may need to use up more battery life. I don’t really know. But other than that the phone is really good and I would definitely recommend this seller.",9.0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B0775451TT,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B0775451TT,436,479.0,749.99
14795,B0731HBTZ7,kaue,1,9-Jan-19,False,the screen came broken,the screen came broken,5.0,Apple,"Apple iPhone 7 32GB, Rose Gold (Renewed)",https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/dp/B0731HBTZ7,https://m.media-amazon.com/images/I/51cRE43zKwL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B0731HBTZ7,452,199.95,210.0
16815,B0775H5HJW,Andres Crespo,5,9-Jan-19,True,Excelente,Excelente,1.0,Apple,"Apple iPhone X, GSM Unlocked, 256GB - Silver (Renewed)",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-256GB/dp/B0775H5HJW,https://m.media-amazon.com/images/I/81yZOQEC+NL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B0775H5HJW,139,499.99,735.0
22018,B07KKL5KGG,Anonymous,5,9-Jan-19,False,GREAT,Wish i could give them 6!!!! POSITIVE Experience,9.0,Apple,"Apple iPhone XS, 256GB, Gold - Fully Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-Renewed/dp/B07KKL5KGG,https://m.media-amazon.com/images/I/41+2tWGDs3L._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B07KKL5KGG,198,574.99,0.0
12347,B06XRJXL3R,Amazon Customer,4,9-Feb-19,True,Packaging is very poor,There was no ear phone and whatsapp sound....I don't know when I receive messages on u whatsapp....There r d things I didn't like and I hope these are d only complain I might have for the phone. The paper it came with is very blurted....,1.0,Apple,Apple iPhone 7 Plus 256GB Unlocked GSM Quad-Core Phone - Black (Renewed),https://www.amazon.com/Apple-iPhone-256GB-Unlocked-Quad-Core/dp/B06XRJXL3R,https://m.media-amazon.com/images/I/71b4kAq+5QL._AC_UY218_ML3_.jpg,4.1,https://www.amazon.com/product-reviews/B06XRJXL3R,153,324.0,549.99
