,asin,name,Rating,date,verified,Title,Review,helpfulVotes,brand,item_title,url,image,overall_rating,reviewUrl,totalReviews,price,originalPrice
23879,B07Q2WPMNB,Panda,3,9-Sep-19,True,Amazing camera except for Portrait mode,"When taking photos in portrait mode, the right side of the background is not blured evenly. it only happens in portrait mode, the quality of other photo modes is amazing. other than this, it's a very nice phone.",14.0,HUAWEI,HUAWEI P30 Pro Factory Unlocked International Version 128GB Black,https://www.amazon.com/HUAWEI-Factory-Unlocked-International-Version/dp/B07Q2WPMNB,https://m.media-amazon.com/images/I/51zDfRUUhHL._AC_UY218_ML3_.jpg,4.2,https://www.amazon.com/product-reviews/B07Q2WPMNB,38,686.99,0.0
18471,B07C6FCC8G,Daisy,5,9-Sep-18,True,"There is a big aperture when taking pictures, and the photos are especially beautiful！","This phone is especially beautiful, it feels smooth and the display is big and clear. Especially its shooting function is easy to use, with large aperture, double lens, the photos are particularly beautiful, I like it very much！",1.0,HUAWEI,"Huawei Mate 10 Pro Unlocked Phone, 6"" 6GB/128GB, AI Processor, Dual Leica Camera, Water Resistant IP67, GSM Only - Mocha Brown (US Warranty)",https://www.amazon.com/Huawei-Unlocked-Processor-Camera-Resistant/dp/B07C6FCC8G,https://m.media-amazon.com/images/I/81a51J6cq9L._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B07C6FCC8G,602,389.94,0.0
10856,B01M6X8SDM,vic19con,1,9-Sep-17,True,I loved this phone,"DO NOT BUY; I loved this phone, it honestly became my all-time favorite phone. However, the phone lasted me exactly 8 months. The motherboard went out on me, and note that I take care of my phone really well, when I called Huawei all I received was ""We're very sorry, we believe you, there's nothing we can do."" I was still under warranty, yet they didn't help me, give me a discount on a new one, etc. I don't want this happening to anyone else, I was on the phone for 1hr with a manager only to feel hopeless. Pay the extra money, while I understand that sometimes electronics give out, I expect some kind of service to the customers who spend their hard earned money on their products.",43.0,HUAWEI,Huawei Honor 8 Dual Camera Unlocked Phone 64GB - Sapphire Blue - GSM - US Warranty,https://www.amazon.com/Huawei-Honor-Camera-Unlocked-Phone/dp/B01M6X8SDM,https://m.media-amazon.com/images/I/713y99b-4iL._AC_UY218_ML3_.jpg,4.2,https://www.amazon.com/product-reviews/B01M6X8SDM,1,0.0,0.0
19520,B07F2PWRZR,Amazon Customer,5,9-Oct-18,False,Nice,Like the phone,1.0,HUAWEI,"Huawei Y5 2018 DRA-L23 DUAL SIM FullView Display 5.45"" 4G LTE Quad Core 16GB 8MP Smartphone Factory Unlocked Android GO (International Version- No Warranty) (Gold)",https://www.amazon.com/Huawei-FullView-Smartphone-Unlocked-International/dp/B07F2PWRZR,https://m.media-amazon.com/images/I/61heZpXti6L._AC_UY218_ML3_.jpg,4.0,https://www.amazon.com/product-reviews/B07F2PWRZR,52,89.96,0.0
19108,B07CMBB6PH,Edith H.,1,9-Oct-18,True,No warranty and DOES NOT support China Mobile 4G,"I bought this phone intended to use in China. In Q/A section, it stated that it'll work with China Mobile. However, that's not quite accurate. It DOES NOT support 4G and you'll only be able to use up to the speed of 2G, which practically makes the phone useless. Another warning: there is no support or warranty for this phone. I went to Huawei store in Shenzhen China, the support engineers did take a look. But when they can't diagnose the issue, I was simply told that this is the oversea model and need to be serviced at the oversea Huawei store. Are you kidding me? There are no Huawei stores in the U.S. So a piece of advice: do NOT buy Huawei oversea models. It's treated as second class and you have no support/warranty in China. In comparison, ""Apple Warranty is international and you can use your warranty on every country that apple has branch."".",4.0,HUAWEI,"HUAWEI P20 Lite (32GB + 4GB RAM) 5.84"" FHD+ Display, 4G LTE Dual SIM GSM Factory Unlocked Smartphone ANE-LX3 - International Model - No Warranty (Sakura Pink)",https://www.amazon.com/Huawei-ANE-LX3-Factory-Unlocked-International/dp/B07CMBB6PH,https://m.media-amazon.com/images/I/819xBtcnz4L._AC_UY218_ML3_.jpg,4.3,https://www.amazon.com/product-reviews/B07CMBB6PH,558,229.99,0.0
23417,B07PKVLDHP,Ramona Mccallie,5,9-Nov-19,True,Satisfied,"Love this phone! Some of the Huwaei features can't be used because I'm in the US, But other than that, the phone works perfectly! I did have to go to the At&t store to get a new SIM card though. Thank you, despite it's inequities with the US services, I love it!",3.0,HUAWEI,"Huawei Y6 2019 MRD-LX3 6.09"" Dewdrop Display 32GB 2GB RAM Dual SIM 13MP+ 8MP A-GPS Fingerprint Factory Unlocked No Warranty US (Blue)",https://www.amazon.com/MRD-LX3-Dewdrop-Fingerprint-Unlocked-Warranty/dp/B07PKVLDHP,https://m.media-amazon.com/images/I/51kU7MGJRQL._AC_UY218_ML3_.jpg,4.0,https://www.amazon.com/product-reviews/B07PKVLDHP,24,128.97,0.0
26140,B07WGR47L9,Jessy Richardson Beltrán,5,9-Nov-19,False,100% original y nuevo,"100% original en caja, accesorios todo en orden",1.0,HUAWEI,"Huawei Y5 2019 AMN-LX3 Dual SIM 32GB+2GB RAM 5.71"" Display Factory Unlocked (International Version) (Modern Black)",https://www.amazon.com/AMN-LX3-Display-Factory-Unlocked-International/dp/B07WGR47L9,https://m.media-amazon.com/images/I/41X9GwTvLjL._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07WGR47L9,20,104.97,0.0
21536,B07JNKYBZ4,SM,1,9-Nov-18,True,Very bad phone. Wasting of money,Very poor phone... Battery is no good... Screen got freeze it self....don't buy it.... And I don't want your Refund..... Keep it for your self....,7.0,HUAWEI,"Huawei Y9 2019 JKM-LX3 6.5"" HiSilicon Kirin 710 64GB 3GB RAM Dual SIM A-GPS Fingerprint -Glonass No Warranty US (Blue)",https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/dp/B07JNKYBZ4,https://m.media-amazon.com/images/I/61w9fBefa8L._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07JNKYBZ4,85,186.9,195.96
19024,B07CMBB6PH,Amazon Customer,2,9-Nov-18,True,NO BLUETOOTH,I c why they have a headphone jack on a newer device. It's because the Bluetooth stops working about a month in while using the device. I seen other reviews about it not working but assumed it was only with a few phones. But seems like it's a big issue. DNT BUY!!,2.0,HUAWEI,"HUAWEI P20 Lite (32GB + 4GB RAM) 5.84"" FHD+ Display, 4G LTE Dual SIM GSM Factory Unlocked Smartphone ANE-LX3 - International Model - No Warranty (Sakura Pink)",https://www.amazon.com/Huawei-ANE-LX3-Factory-Unlocked-International/dp/B07CMBB6PH,https://m.media-amazon.com/images/I/819xBtcnz4L._AC_UY218_ML3_.jpg,4.3,https://www.amazon.com/product-reviews/B07CMBB6PH,558,229.99,0.0
21541,B07JNKYBZ4,lemmr,3,9-May-19,True,USA not on their cloud services,"Love the phone, but can't give it 5 stars as I've discovered it's not eligible to register with cloud services. When you go to register it, it asks your country, and USA isn't a choice. I called support and they acknowledged that fact and said to transfer my photos, etc from my old phone I would have to install the app ""Phone Clone"" on both phones and go from there.",1.0,HUAWEI,"Huawei Y9 2019 JKM-LX3 6.5"" HiSilicon Kirin 710 64GB 3GB RAM Dual SIM A-GPS Fingerprint -Glonass No Warranty US (Blue)",https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/dp/B07JNKYBZ4,https://m.media-amazon.com/images/I/61w9fBefa8L._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07JNKYBZ4,85,186.9,195.96
23900,B07Q2X19LG,S. Nasar,5,9-May-19,True,Best phone I have ever used.,"This is the best phone I have ever owned, much better than any iPhone. The camera is ridiculous.....it's alone worth the price. Also amazing battery life. The design is simple and clean. My only problem is the finger print reader is a LITTLE iffy, slow. Overall I am very pleased with this phone, I am glad I didn't get an iPhone instead!",37.0,HUAWEI,"Huawei P30 128GB+6GB RAM (ELE-L29) 6.1"" LTE Factory Unlocked GSM Smartphone (International Version) (Black)",https://www.amazon.com/ELE-L29-Factory-Unlocked-Smartphone-International/dp/B07Q2X19LG,https://m.media-amazon.com/images/I/61jJeZBliWL._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07Q2X19LG,115,513.99,749.99
18575,B07C6FCC8G,Gravage,1,9-May-18,True,Very disappointed,"A little background: I have owned pretty much every flagship phone over the last 5 years and many of the Chinese phones from Xiaomi and Huawei, OnePlus, etc. I used to root, mod, custom rom my phones. I know my way around Android and the various skins. Recently, I purchased an Honor View10 from Amazon. It was supposed to be a slightly watered-down version of this phone and it was dual sim and was priced well. I sent it back within a day because I simply could not get notifications for most of my apps. I'm quite versed at how Huawei does this to save battery, as well as the settings to ""Launch"", ""Battery Optimization"", and ""Priority"" that you need to change if you want to get notifications. I was hoping it would be different with the premium version of their phone. I shouldn't have been naive. The build quality and hardware are superb. But this thing is useless as a smartphone. If you actually want to get notifications for your apps, look elsewhere. The reviews are glowing for this phone from many of the bloggers. I can't figure out if they didn't actually use it or if they simply don't need to get notifications. I adjusted every single setting I needed to (again; launch, battery optimization, priority) for all of my apps and when the screen was off, nothing was coming in. Notification light never fired off. I turned on the phone and there was nothing on the lockscreen. I unlocked the phone, opened the email app and manually refreshed and finally got mail (it was set to push). It should not be this way. Ever. And you should not ever have to do this much work to try and get notifications working on a smartphone out of the box anyway. I returned it. This will be the last Huawei device I ever buy. I liked my Mate 8, but only because I rooted that so I could get notifications working (you have to use Titanium Backup to freeze the app that does all of this to save battery life). Xiaomi has something similar on their phones, but once you disable the battery saving features, you actually get notifications. I had the Mi Mix, Mi Mix 2, and Mi Mix 2s. All worked flawlessly. But without root, I can't get a Huawei phone to work the way it should. So be warned.",20.0,HUAWEI,"Huawei Mate 10 Pro Unlocked Phone, 6"" 6GB/128GB, AI Processor, Dual Leica Camera, Water Resistant IP67, GSM Only - Mocha Brown (US Warranty)",https://www.amazon.com/Huawei-Unlocked-Processor-Camera-Resistant/dp/B07C6FCC8G,https://m.media-amazon.com/images/I/81a51J6cq9L._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B07C6FCC8G,602,389.94,0.0
13493,B0711S4T9J,FAHAD E. B. AL-BARHOMI,5,9-May-18,True,i am glad to have it,"Prefect, it's working and compatible with our broadband 3g/4g coverage in saudi arabia, and it's catching up a weak signal too, i am glad to have it.",5.0,HUAWEI,"Huawei E8372h-608 Unlocked 150 Mbps 4G LTE WiFi USB Wingle (4G LTE in USA (AT&T only), Europe, Asia, Middle East and Africa) (White, Telenor Logo)",https://www.amazon.com/Huawei-E8372h-608-Unlocked-Wingle-Telenor/dp/B0711S4T9J,https://m.media-amazon.com/images/I/31Liqarr44L._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B0711S4T9J,42,64.9,0.0
17877,B079HG7TZS,Cooking w/ J&E,3,9-May-18,True,Didn't get LTE with AT&T,"The P Smart is a great phone for the price. Nice screen size, light weight, fast unlock with fingerprint, headphone jack, paired well with Huawei P Smart Case, Huawei Enjoy 7S Case, Rnicy Slim Anti-fingerprint Rubber Soft TPU Flexible Brushed Texture Protective Cover Case For Huawei P Smart / Enjoy 7S 2018 (Black). No image stabilization made videos jittery. My main issue was I didn't get LTE with AT&T. A seller said it would work, but I had no success. I only got up to 4G. If it helps, here's the contents of a label on box: Huawei P Smart Model: FIG-LX3 SIM1: 2G: GPS/GPRS/EDGE 850/900/1800/1900 3G: UMTS 850/900/1900/2100/AWS 4G: FDD B2/B4/B5/B7/B28 SIM2: GSM 850/900/1800/1900",18.0,HUAWEI,"Huawei P Smart (32GB) 5.6"" Fullview Display & Dual Camera's, 4G LTE Dual-SIM Factory Unlocked w/ Fingerprint Scanner FIG-L23 International Model, No Warranty (Black)",https://www.amazon.com/Fullview-Dual-SIM-Fingerprint-FIG-L23-International/dp/B079HG7TZS,https://m.media-amazon.com/images/I/51+UNS7GlGL._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B079HG7TZS,34,179.99,0.0
21390,B07J4Z9647,MSBH America LLC,4,9-Mar-19,True,The shipping and the delivery very good.,"I bought it for someone else, so I cann't make a review about it, but as the person told me it's very good.",1.0,HUAWEI,"Huawei Mate 20 Lite SNE-LX3 64GB (Factory Unlocked) 6.3"" FHD (International Version) (Black)",https://www.amazon.com/Huawei-SNE-LX3-Factory-Unlocked-International/dp/B07J4Z9647,https://m.media-amazon.com/images/I/51eM8j7wKzL._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B07J4Z9647,422,229.98,299.99
