,asin,name,Rating,date,verified,Title,Review,helpfulVotes,brand,item_title,url,image,overall_rating,reviewUrl,totalReviews,price,originalPrice
4940,B00O15MWOM,Joey Weston,5,9-Sep-17,True,the camera works great it takes amazing pics/videos anyone that says it dont ...,the Phone works great it takes amazing pics/videos anyone that says it dont is just lying thro their teeth js,1.0,Nokia,Nokia Lumia 530 White - No Contract (T-Mobile),https://www.amazon.com/Nokia-Lumia-530-White-Contract/dp/B00O15MWOM,https://m.media-amazon.com/images/I/81ba7gOGt5L._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00O15MWOM,378,133.28,0.0
1031,B00836Y6B2,Alexander Beckford,1,9-Sep-13,True,Completely disappointed,"I ordered this phone for my daughter on July 30, 2013. Got it a week after, it DOES NOT WORK now,it was not dropped or any such thing, it just decided to not turn on one day even after charging it. Therefore she only received one month of usage of this phone. After this happen, I opted to contact the seller to get either a refund or a replacement, i am being told i CANNOT!!! This is utter crap, now i have no idea what steps to take next..... NEEEEDDDDD HEEEELLPPPPP!",30.0,Nokia,Nokia Lumia 900 Black Factory Unlocked,https://www.amazon.com/Nokia-Lumia-900-Factory-Unlocked/dp/B00836Y6B2,https://m.media-amazon.com/images/I/81ZlbLtZ3PL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00836Y6B2,929,109.98,0.0
2256,B00CQAODG4,Donald F. Cassat,4,9-Sep-13,True,928 is great.,I am not a I phone fan. I purchased the 928 because I believe it will serve my purpose. I like to take pictures and with this camera it is easy. I track e-mails also easy. The phone is some what intuitive and I am still in the process of learning all the new and different things I can do. I would recommend it over the I phone almost strictly for size and photos,2.0,Nokia,"Nokia Lumia 928, White 32GB (Verizon Wireless)",https://www.amazon.com/Nokia-Lumia-928-Verizon-Wireless/dp/B00CQAODG4,https://m.media-amazon.com/images/I/41zkjf9ksSL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00CQAODG4,349,0.0,0.0
26659,B07XVZXR5Y,"An, Zhongming",4,9-Oct-19,True,So far so good,It works well so far and there seems to be no problem other than mysteriously restarting itself twice. Heard that the charging port for 7.1 had some issues and this one has to wait.,19.0,Nokia,"Nokia 7.2 - Android 9.0 Pie - 128 GB - 48MP Triple Camera - Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 6.3"" FHD+ HDR Screen - Charcoal - U.S. Warranty",https://www.amazon.com/Nokia-7-2-Unlocked-Smartphone-T-Mobile/dp/B07XVZXR5Y,https://m.media-amazon.com/images/I/71JQpRDCyXL._AC_UY218_ML3_.jpg,4.0,https://www.amazon.com/product-reviews/B07XVZXR5Y,49,329.0,349.0
14024,B071ZDQ6MV,neokansan,4,9-Oct-17,True,Good for the price!,"I think overall a good purchase for the price. Speaker phone a little disappointing, but on the other hand, the speakers produce good sound for media. Probably the separation for Dolby acheived. And I like the camera and video quality.",4.0,Nokia,Nokia 6 - 32 GB - Dual Sim Unlocked Smartphone (AT&T/T-Mobile/Metropcs/Cricket/Mint) - Update To Android 9.0 PIE - 5.FHD Screen - Blue - U.S. Warranty,https://www.amazon.com/Nokia-Unlocked-Smartphone-T-Mobile-MetroPCS/dp/B071ZDQ6MV,https://m.media-amazon.com/images/I/61291x3og8L._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B071ZDQ6MV,558,109.0,179.0
14078,B071ZDQ6MV,Wayne Hewitt,5,9-Oct-17,True,modern excellent picture quality,"I purchased this phone in September 2017. By November the phone started acting as if it has a mind of its own. the screen started doing its own thing. the touch hardly works, and when i touch an app to open it, another one opens instead. I cant type any message in whatsapp or facebook. I dont know what else to do, or who to get help from. There was one update to the OS since i bought it, i dont know if that had anything to do with it.HELP !!!!!",6.0,Nokia,Nokia 6 - 32 GB - Dual Sim Unlocked Smartphone (AT&T/T-Mobile/Metropcs/Cricket/Mint) - Update To Android 9.0 PIE - 5.FHD Screen - Blue - U.S. Warranty,https://www.amazon.com/Nokia-Unlocked-Smartphone-T-Mobile-MetroPCS/dp/B071ZDQ6MV,https://m.media-amazon.com/images/I/61291x3og8L._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B071ZDQ6MV,558,109.0,179.0
4109,B00KM10ITK,Ramy Refat,1,9-Oct-16,True,Locked phone,This phone is locked to T-Mobile only . I tried it with another carrier but it didn't work and I called T-Mobile to unlock it but they refused to do so,3.0,Nokia,Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black,https://www.amazon.com/Nokia-Lumia-Unlocked-Windows-Quad-Core/dp/B00KM10ITK,https://m.media-amazon.com/images/I/61WZWpJTYmL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00KM10ITK,693,103.98,0.0
2354,B00CQAODG4,ChristianMommy,1,9-Oct-13,True,NOT THE PHONE FOR ME,"I owned this phone for no more than 14 days before it completely went out on me. It was glitchy from the 2nd day and just got worse after that. You can't take the battery out so if it freezes up, you have to go get a new one altogether. Which, would be fine if you could take it to the Verizon store and swap it, but since I purchased it on Amazon they make you go through them and you are stuck without a phone. I understand that some phones are just defective, but that was not the only thing I dislike about this phone. * I came from a Galaxy S2 to this, and it did not have SOOO many of the basic features or sound settings that I would expect from the typical phone. There's only one sound setting for EVERYTHING. * I got this because of the camera and the excellent reviews, there are very little cool things you can do with this camera and I wasn't impressed with the photos. * TOTALLY lacking in apps. And I really don't use a ton of apps or play any games! Just the basic stuff you want! I am now a proud owner of the Galaxy S4 and love it completely. Camera and all. I have no regrets and would have died if I had to be stuck with this phone for 2 years.",1.0,Nokia,"Nokia Lumia 928, White 32GB (Verizon Wireless)",https://www.amazon.com/Nokia-Lumia-928-Verizon-Wireless/dp/B00CQAODG4,https://m.media-amazon.com/images/I/41zkjf9ksSL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00CQAODG4,349,0.0,0.0
26685,B07XW28MHX,Richard A LaJambe,1,9-Nov-19,True,Unable to get inital setup configured.,"Hardware is hobbled by the worthless Android operating system. I wish I could have used this device, but it could not even be setup due to the Android operating system failing on multiple levels. 1. On initial setup, when setting up wireless connectivity it would not save, and hence connect to my wireless network. 2. Initial setup gave no clue as to where to find settings, and upon initial opening of the settings it was very limited. 3. Called Nokia and they tried multiple tests and could find nothing wrong with the hardware, but could not get the OS to operate as it should. 4. SIM card not recognized 5. Slot for second SIM card did not work. I am returning the phone.",8.0,Nokia,"Nokia 6.2 - Android 9.0 Pie - 64 GB - Triple Camera - Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 6.3"" FHD+ HDR Screen - Black - U.S. Warranty",https://www.amazon.com/Nokia-6-2-Unlocked-Smartphone-T-Mobile/dp/B07XW28MHX,https://m.media-amazon.com/images/I/61uxQNJ2D6L._AC_UY218_ML3_.jpg,4.1,https://www.amazon.com/product-reviews/B07XW28MHX,17,249.0,0.0
26683,B07XVZXR5Y,matthew,4,9-Nov-19,True,Not bad,"So far, the only disappointment is the fact that an Android One device from a company whose boast is delivering on the monthly security updates hasn't pushed any updates. There are some bugs in this software that need to be addressed. Once Nokia iron out their initial software release wrinkles, i'll post a more comprehensive review but this phone isn't quite ready for primetime",1.0,Nokia,"Nokia 7.2 - Android 9.0 Pie - 128 GB - 48MP Triple Camera - Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 6.3"" FHD+ HDR Screen - Charcoal - U.S. Warranty",https://www.amazon.com/Nokia-7-2-Unlocked-Smartphone-T-Mobile/dp/B07XVZXR5Y,https://m.media-amazon.com/images/I/71JQpRDCyXL._AC_UY218_ML3_.jpg,4.0,https://www.amazon.com/product-reviews/B07XVZXR5Y,49,329.0,349.0
