,asin,name,Rating,date,verified,Title,Review,helpfulVotes,brand,item_title,url,image,overall_rating,reviewUrl,totalReviews,price,originalPrice
25609,B07VB9MMMW,Alejandro Ferrufino,5,9-Sep-19,True,In love,"I'm in love with this phone, for me it would be the perfect phone if it had the FHD+ display, however, the screen looks really good for me. The screen fingerprint reader works faster with every use. I'd buy again. Also it is cheaper now, so yes an amazing phone for this price.",7.0,Xiaomi,"Xiaomi Mi A3 64GB, 4GB RAM 6.1' 48MP AI Triple Camera LTE Factory Unlocked Smartphone (International Version) (Kind of Grey)",https://www.amazon.com/Xiaomi-Factory-Unlocked-Smartphone-International/dp/B07VB9MMMW,https://m.media-amazon.com/images/I/41kBtX8-WBL._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07VB9MMMW,252,163.0,0.0
25383,B07T7MM64L,Armando T.,5,9-Sep-19,True,The best!,The Best,1.0,Xiaomi,"Xiaomi Mi 9T (128GB, 6GB RAM) 6.39"" AMOLED FHD + Full Screen Display, 48MP Triple Camera, Global 4G LTE Dual SIM GSM Factory Unlocked (Carbon Black)",https://www.amazon.com/Xiaomi-AMOLED-Display-Factory-Unlocked/dp/B07T7MM64L,https://m.media-amazon.com/images/I/61QTazZbBRL._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07T7MM64L,94,298.98,0.0
25663,B07VD3JH2C,Alejandro Ferrufino,5,9-Sep-19,True,In love,"I'm in love with this phone, for me it would be the perfect phone if it had the FHD+ display, however, the screen looks really good for me. The screen fingerprint reader works faster with every use. I'd buy again. Also it is cheaper now, so yes an amazing phone for this price.",7.0,Xiaomi,"Xiaomi Mi A3 64GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",https://www.amazon.com/Xiaomi-64GB-Triple-Camera-Smartphone/dp/B07VD3JH2C,https://m.media-amazon.com/images/I/51Xm9ay971L._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07VD3JH2C,252,174.0,0.0
23759,B07PY52GVP,Rachel Witt,5,9-Sep-19,True,Excellent product!,Excellent product!,1.0,Xiaomi,"Xiaomi Redmi Note 7, 64GB/4GB RAM, 6.30'' FHD+, Snapdragon 660, Black - Unlocked Global Version",https://www.amazon.com/Xiaomi-Redmi-Note-Snapdragon-Black/dp/B07PY52GVP,https://m.media-amazon.com/images/I/61ZaskM5hBL._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B07PY52GVP,630,167.0,0.0
23685,B07PY52GVP,Jennifer S,5,9-Oct-19,True,Running with T-Mobile with no problems. Great Buy!!!,So far so good. Impressed me thinking about buying my husband one to replace his Samsung Galaxy S7 edge. This is so much more phone and cheaper.,1.0,Xiaomi,"Xiaomi Redmi Note 7, 64GB/4GB RAM, 6.30'' FHD+, Snapdragon 660, Black - Unlocked Global Version",https://www.amazon.com/Xiaomi-Redmi-Note-Snapdragon-Black/dp/B07PY52GVP,https://m.media-amazon.com/images/I/61ZaskM5hBL._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B07PY52GVP,630,167.0,0.0
24084,B07Q6ZZ4S1,Michael Clay,1,9-Oct-19,True,No 4G LTE for T-Mobile in Texas or in USA,"No 4G LTE for T-Mobile in Texas or in USA. However, it is a good phone with all the other qualifications. And, its camera is not so good.",1.0,Xiaomi,"Xiaomi Redmi Note 7 128GB + 4GB RAM 6.3"" FHD+ LTE Factory Unlocked 48MP GSM Smartphone (Global Version, No Warranty) (Neptune Blue)",https://www.amazon.com/Xiaomi-Factory-Unlocked-Smartphone-Warranty/dp/B07Q6ZZ4S1,https://m.media-amazon.com/images/I/51X1YcLSmXL._AC_UY218_ML3_.jpg,4.3,https://www.amazon.com/product-reviews/B07Q6ZZ4S1,272,186.0,0.0
24266,B07QB8QYYZ,Alan Estrebou,1,9-Oct-19,True,Very disappointed - screen broken with one use,"Very disappointed, I bought the phone as a gift for my mother, she used it once, put it on her purse, and when she took it again the screen was not working, it started with a blue point in the middle and then all the screen was black. The phone looks perfect when she opens the box, but definitely, it was not perfect.",1.0,Xiaomi,"Xiaomi Mi 9 SE Unlocked 6GB/64GB Dual Sim 4G LTE Phone (International Global Version, No Warranty) (Ocean Blue)",https://www.amazon.com/Xiaomi-Unlocked-International-Version-Warranty/dp/B07QB8QYYZ,https://m.media-amazon.com/images/I/41UrCG1gkRL._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B07QB8QYYZ,71,264.99,0.0
19636,B07FM9913M,Sam H.,4,9-Oct-18,True,No NFC,This phone doesn't have NFC in it.,6.0,Xiaomi,"Unlocked GOLD Xiaomi Mi A2, 4GB 64GB, Dual SIM standby, Global Version, 5.5 inch Smartphone Android One, Dual Rear 12.0MP Camera Snapdragon 625",https://www.amazon.com/Xiaomi-64GB-4GB-5-99-International/dp/B07FM9913M,https://m.media-amazon.com/images/I/61w4AKhyLzL._AC_UY218_ML3_.jpg,4.2,https://www.amazon.com/product-reviews/B07FM9913M,453,159.49,0.0
26762,B07Y8YWTFL,Michael,5,9-Nov-19,True,Know that it is a gsm factory phone. Sim card only,"Honestly I am very happy to say that this is the most amazing phone I had paid for! With a bit of research, you can find a high quality phone like the iPhone x for less!! I recommend people shop online! This is 100% legitimate and safe! I'm happy with my new Redmi phone!!",3.0,Xiaomi,"Xiaomi Redmi Note 8 Pro 64GB, 6GB RAM 6.53"" LTE GSM 64MP Factory Unlocked Smartphone - Global Model (Mineral Grey)",https://www.amazon.com/Xiaomi-Redmi-Factory-Unlocked-Smartphone/dp/B07Y8YWTFL,https://m.media-amazon.com/images/I/81UgYuadkpL._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07Y8YWTFL,148,214.75,349.99
23762,B07PY52GVP,Alexander Tseytlin,5,9-Nov-19,True,price,works very well,1.0,Xiaomi,"Xiaomi Redmi Note 7, 64GB/4GB RAM, 6.30'' FHD+, Snapdragon 660, Black - Unlocked Global Version",https://www.amazon.com/Xiaomi-Redmi-Note-Snapdragon-Black/dp/B07PY52GVP,https://m.media-amazon.com/images/I/61ZaskM5hBL._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B07PY52GVP,630,167.0,0.0
